Metro,State,math_and_programming_jobs,median_metro_value,year,city_state,lat,lon
Abilene,TX,310,82505.30303,2000,"Abilene, TX",32.576489,-99.665323
Abilene,TX,400,91965.90909,2004,"Abilene, TX",32.576489,-99.665323
Abilene,TX,390,102588.6364,2005,"Abilene, TX",32.576489,-99.665323
Abilene,TX,380,111833.3333,2006,"Abilene, TX",32.576489,-99.665323
Abilene,TX,380,118025,2007,"Abilene, TX",32.576489,-99.665323
Abilene,TX,600,116719.697,2008,"Abilene, TX",32.576489,-99.665323
Abilene,TX,680,112059.0909,2009,"Abilene, TX",32.576489,-99.665323
Abilene,TX,720,113625.7576,2010,"Abilene, TX",32.576489,-99.665323
Abilene,TX,710,112920.4545,2011,"Abilene, TX",32.576489,-99.665323
Abilene,TX,740,111655.303,2012,"Abilene, TX",32.576489,-99.665323
Abilene,TX,770,120146.9697,2014,"Abilene, TX",32.576489,-99.665323
Abilene,TX,1010,124626.5152,2015,"Abilene, TX",32.576489,-99.665323
Abilene,TX,920,131789.3939,2016,"Abilene, TX",32.576489,-99.665323
Abilene,TX,410,82850.75758,2001,"Abilene, TX",32.576489,-99.665323
Abilene,TX,530,83806.06061,2002,"Abilene, TX",32.576489,-99.665323
Abilene,TX,560,86396.21212,2003,"Abilene, TX",32.576489,-99.665323
Akron,OH,4070,99576.66667,2000,"Akron, OH",41.04349,-81.524017
Akron,OH,6610,111921.6667,2004,"Akron, OH",41.04349,-81.524017
Akron,OH,6750,115197.5,2005,"Akron, OH",41.04349,-81.524017
Akron,OH,7230,114025.8333,2006,"Akron, OH",41.04349,-81.524017
Akron,OH,6800,111226.6667,2007,"Akron, OH",41.04349,-81.524017
Akron,OH,7190,104111.6667,2008,"Akron, OH",41.04349,-81.524017
Akron,OH,6740,95684.16667,2009,"Akron, OH",41.04349,-81.524017
Akron,OH,6910,91875,2010,"Akron, OH",41.04349,-81.524017
Akron,OH,6790,85372.5,2011,"Akron, OH",41.04349,-81.524017
Akron,OH,8460,81995,2012,"Akron, OH",41.04349,-81.524017
Akron,OH,8610,84748.33333,2014,"Akron, OH",41.04349,-81.524017
Akron,OH,8310,86645.83333,2015,"Akron, OH",41.04349,-81.524017
Akron,OH,7820,90418.33333,2016,"Akron, OH",41.04349,-81.524017
Akron,OH,4100,102681.6667,2001,"Akron, OH",41.04349,-81.524017
Akron,OH,6400,105069.1667,2002,"Akron, OH",41.04349,-81.524017
Akron,OH,6510,107999.1667,2003,"Akron, OH",41.04349,-81.524017
Albany,OR,280,145823.8095,2015,"Albany, OR",44.65345,-123.139526
Albany,OR,290,162327.381,2016,"Albany, OR",44.65345,-123.139526
Albany-Schenectady-Troy,NY,10410,88314.93056,2000,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,11760,128145.4861,2004,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,12280,146066.3194,2005,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,12380,160180.5556,2006,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,12710,164842.7083,2007,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,13710,163410.7639,2008,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,14140,160255.5556,2009,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,14580,159170.4861,2010,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,14540,151819.0972,2011,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,15180,149651.0417,2012,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,14460,149755.9028,2013,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,14620,150099.3056,2014,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,15290,149375,2015,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,15510,150694.0972,2016,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,10850,92877.77778,2001,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,11190,100641.6667,2002,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albany-Schenectady-Troy,NY,12090,112716.6667,2003,"Albany-Schenectady-Troy, NY",42.72841,-73.69179
Albuquerque,NM,13410,134316.8056,2000,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,6390,154736.1806,2004,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,6830,167996.5972,2005,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,7320,196409.4444,2006,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,7750,214800.4861,2007,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,7790,216268.2639,2008,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,9030,208358.6806,2009,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,8760,202487.7083,2010,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,9500,189067.0139,2011,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,9490,181401.1111,2012,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,8880,179584.0972,2013,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,9330,182745.4167,2014,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,9190,190889.9306,2015,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,8980,198419.3056,2016,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,8940,137752.2917,2001,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,7880,142077.1528,2002,"Albuquerque, NM",35.084491,-106.651137
Albuquerque,NM,7620,145953.4722,2003,"Albuquerque, NM",35.084491,-106.651137
Allentown-Bethlehem-Easton,PA,4340,101039.7059,2000,"Allentown-Bethlehem-Easton, PA",40.626343,-75.458171
Allentown-Bethlehem-Easton,PA,4560,141552.9412,2004,"Allentown-Bethlehem-Easton, PA",40.626343,-75.458171
Allentown-Bethlehem-Easton,PA,4300,107619.6078,2001,"Allentown-Bethlehem-Easton, PA",40.626343,-75.458171
Allentown-Bethlehem-Easton,PA,4110,114559.8039,2002,"Allentown-Bethlehem-Easton, PA",40.626343,-75.458171
Allentown-Bethlehem-Easton,PA,3740,126694.6078,2003,"Allentown-Bethlehem-Easton, PA",40.626343,-75.458171
Altoona,PA,710,67825,2000,"Altoona, PA",40.489433,-78.349874
Altoona,PA,480,85338.33333,2004,"Altoona, PA",40.489433,-78.349874
Altoona,PA,520,84531.66667,2005,"Altoona, PA",40.489433,-78.349874
Altoona,PA,600,88500,2006,"Altoona, PA",40.489433,-78.349874
Altoona,PA,700,91451.66667,2007,"Altoona, PA",40.489433,-78.349874
Altoona,PA,710,92903.33333,2008,"Altoona, PA",40.489433,-78.349874
Altoona,PA,710,91243.33333,2009,"Altoona, PA",40.489433,-78.349874
Altoona,PA,650,94976.66667,2010,"Altoona, PA",40.489433,-78.349874
Altoona,PA,580,96430,2011,"Altoona, PA",40.489433,-78.349874
Altoona,PA,540,94650,2012,"Altoona, PA",40.489433,-78.349874
Altoona,PA,700,97385,2014,"Altoona, PA",40.489433,-78.349874
Altoona,PA,710,96485,2015,"Altoona, PA",40.489433,-78.349874
